"","house.price","RP","crime","built.area","age","retired","children","immigrants","shopping","historical","baths","type.house","floor","good.cond","garage","elevator","air.cond","swimming.pool","M.30","longitude","latitude"
"4497",4286,0.27,0.38,175,25,21.3085529446878,11.4343101904508,6.06361267736289,1,1,4,"piso","sexta_o_mas","a_reformar","si","si","si","no",0,-3.663794,40.418941
"3227",3151,0.39,0.54,66,40,12.3985863211007,16.4262375247283,6.55271288537198,0,0,1,"piso","primera","bueno","ZZZ","no","si","ZZZ",0,-3.711502,40.391793
"11715",1500,0.19,0.45,70,26.8781656341526,17.6805558506683,14.7617732259595,20.543385107905,0,0,1,"piso","seg.-terc.","bueno","ZZZ","no","no","no",0,-3.715097,40.380083
"9989",3366,0.3,0.61,50,35,18.6782268954326,13.431372167504,17.8368933701206,0,0,1,"piso","primera","bueno","no","no","no","no",0,-3.733313,40.397238
"7099",6000,0.29,0.45,65,28.1060965258633,16.2444144382421,8.89722566365522,18.5726018625499,1,1,1,"piso","sexta_o_mas","bueno","si","no","no","no",1,-3.708012,40.414484
"1771",3022,0.21,0.37,91,30,21.8191401950297,11.6618606886501,13.9478008774786,0,0,1,"piso","cuar.-quinta","bueno","no","si","no","no",0,-3.770242,40.399297
"1861",2480,0.22,0.41,80,40,16.9864075695667,15.7803097218604,9.82035623733057,0,0,1,"piso","ZZZ","a_reformar","no","no","no","no",0,-3.613791,40.448306
"10725",3808,0.27,0.41,130,15,19.5566137701235,11.1810440577564,17.5599075693549,0,0,2,"piso","seg.-terc.","bueno","si","no","no","no",0,-3.700161,40.466817
"1181",3782,0.48,0.72,119,15,21.3085529446878,11.4343101904508,6.06361267736289,1,1,2,"piso","seg.-terc.","bueno","si","si","si","si",0,-3.68175,40.402957
"9427",2732,0.39,0.73,41,20.731136723714,16.5594715715936,15.4340900438799,18.1236517127839,0,0,1,"piso","seg.-terc.","bueno","no","no","si","ZZZ",0,-3.710911,40.344909
"9510",2125,0.35,0.57,40,40,17.5324251570275,14.0851619218533,15.6513581858227,0,0,1,"piso","primera","a_reformar","no","no","si","no",0,-3.667846,40.388299
